ID,WAGE,Annual Income,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH,
401,10.00,"20,800.00",4,0,1,10,25,41,1,1,3,0,
402,8.00,"16,640.00",4,0,0,12,15,33,1,1,3,0,
403,6.88,"14,310.40",4,0,0,14,10,30,1,0,3,1,
404,5.55,"11,544.00",4,0,1,11,45,62,1,0,3,0,
405,7.50,"15,600.00",4,0,0,11,3,20,0,0,1,0,
406,8.93,"18,574.40",4,0,1,8,47,61,0,1,2,0,
407,9.00,"18,720.00",4,0,0,16,6,28,1,1,1,0,
408,3.50,"7,280.00",4,0,0,10,33,49,1,0,3,1,
409,5.77,"12,001.60",4,1,0,16,3,25,0,0,3,0,
410,25.00,"52,000.00",4,0,1,14,4,24,0,0,2,0,
411,6.85,"14,248.00",4,0,1,14,34,54,0,1,1,0,
412,6.50,"13,520.00",4,0,0,11,39,56,0,1,3,1,
413,3.75,"7,800.00",4,0,0,12,17,35,1,1,3,1,
414,3.50,"7,280.00",4,0,1,9,47,62,0,1,3,0,
415,4.50,"9,360.00",4,0,0,11,2,19,0,0,3,0,
416,2.01,"4,180.80",4,0,0,13,0,19,0,0,3,1,
417,4.17,"8,673.60",4,0,0,14,24,44,1,0,3,0,
418,13.00,"27,040.00",4,0,1,12,25,43,0,1,1,0,
419,3.98,"8,278.40",4,0,0,14,6,26,1,0,3,0,
420,7.50,"15,600.00",4,0,0,12,10,28,1,0,3,0,
421,13.12,"27,289.60",4,0,0,12,33,51,1,1,1,0,
422,4.00,"8,320.00",4,0,0,12,12,30,0,0,3,0,
423,3.95,"8,216.00",4,0,0,12,9,27,1,1,3,1,
424,13.00,"27,040.00",4,0,1,11,18,35,0,1,3,1,
425,9.00,"18,720.00",4,0,0,12,10,28,0,1,3,0,
426,4.55,"9,464.00",4,0,0,8,45,59,1,0,3,1,
427,9.50,"19,760.00",4,0,1,9,46,61,1,1,3,0,
428,4.50,"9,360.00",4,0,0,7,14,27,0,1,2,1,
429,8.75,"18,200.00",4,0,0,11,36,53,1,0,3,0,
430,10.00,"20,800.00",5,2,1,13,34,53,0,1,3,0,
431,18.00,"37,440.00",5,0,0,18,15,39,0,1,3,0,
432,24.98,"51,958.40",5,1,0,17,31,54,0,1,3,0,
433,12.05,"25,064.00",5,1,0,16,6,28,1,0,3,0,
434,22.00,"45,760.00",5,0,0,14,15,35,0,1,3,1,
435,8.75,"18,200.00",5,0,0,12,30,48,0,1,3,0,
436,22.20,"46,176.00",5,0,0,18,8,32,0,1,3,0,
437,17.25,"35,880.00",5,1,0,18,5,29,0,1,3,0,
438,6.00,"12,480.00",5,0,1,17,3,26,1,0,3,0,
439,8.06,"16,764.80",5,0,0,13,17,36,0,1,3,1,
440,9.24,"19,219.20",5,1,1,16,5,27,0,1,1,0,
441,12.00,"24,960.00",5,0,0,14,10,30,1,1,3,0,
442,10.61,"22,068.80",5,0,0,15,33,54,1,0,3,0,
443,5.71,"11,876.80",5,0,0,18,3,27,0,1,3,0,
444,10.00,"20,800.00",5,0,0,16,0,18,1,0,3,0,
445,17.50,"36,400.00",5,0,0,16,13,35,0,1,1,1,
446,15.00,"31,200.00",5,0,0,18,12,36,0,1,3,0,
447,7.78,"16,182.40",5,0,0,16,6,28,1,1,3,0,
448,7.80,"16,224.00",5,0,0,17,7,30,0,1,3,0,
449,10.00,"20,800.00",5,0,1,16,14,36,0,1,3,1,
450,24.98,"51,958.40",5,0,0,17,5,28,1,0,3,0,
451,10.28,"21,382.40",5,0,0,15,10,31,1,1,3,1,
452,15.00,"31,200.00",5,0,0,18,11,35,1,1,3,0,
453,12.00,"24,960.00",5,0,0,17,24,47,1,1,3,0,
454,10.58,"22,006.40",5,1,0,16,9,31,0,0,3,0,
455,5.85,"12,168.00",5,0,0,18,12,36,0,1,3,1,
456,11.22,"23,337.60",5,0,0,18,19,43,0,1,3,0,
457,8.56,"17,804.80",5,0,0,14,14,34,1,1,3,0,
458,13.89,"28,891.20",5,1,0,16,17,39,1,0,3,0,
459,5.71,"11,876.80",5,0,0,18,7,31,0,0,3,1,
460,15.79,"32,843.20",5,0,0,18,7,31,0,1,3,0,
461,7.50,"15,600.00",5,0,0,16,22,44,1,1,3,0,
462,11.25,"23,400.00",5,0,0,12,28,46,1,1,3,0,
463,6.15,"12,792.00",5,0,0,16,16,38,1,0,3,0,
464,13.45,"27,976.00",5,0,0,16,16,38,0,0,1,1,
465,6.25,"13,000.00",5,0,0,16,7,29,1,1,3,0,
466,6.50,"13,520.00",5,0,0,12,11,29,1,0,3,0,
467,12.00,"24,960.00",5,0,0,12,11,29,1,1,3,0,
468,8.50,"17,680.00",5,0,0,12,16,34,1,0,3,0,
469,8.00,"16,640.00",5,0,1,18,33,57,0,0,3,0,
470,5.75,"11,960.00",5,0,0,12,21,39,1,1,3,1,
471,15.73,"32,718.40",5,1,0,16,4,26,0,1,3,0,
472,9.86,"20,508.80",5,0,0,15,13,34,0,1,3,0,
473,13.51,"28,100.80",5,0,1,18,14,38,0,1,3,0,
474,5.40,"11,232.00",5,0,0,16,10,32,1,1,3,0,
475,6.25,"13,000.00",5,0,0,18,14,38,0,1,3,1,
476,5.50,"11,440.00",5,0,0,16,29,51,0,1,3,1,
477,5.00,"10,400.00",5,0,0,12,4,22,0,0,2,0,
478,6.25,"13,000.00",5,0,0,18,27,51,0,1,1,0,
479,5.75,"11,960.00",5,0,0,12,3,21,0,1,3,0,
480,20.50,"42,640.00",5,0,1,16,14,36,0,1,3,1,
481,5.00,"10,400.00",5,2,0,14,0,20,0,1,3,0,
482,7.00,"14,560.00",5,0,0,18,33,57,0,1,3,0,
483,18.00,"37,440.00",5,0,0,16,38,60,0,1,3,1,
484,12.00,"24,960.00",5,0,1,18,18,42,1,1,3,0,
485,20.40,"42,432.00",5,1,0,17,3,26,0,0,3,0,
486,22.20,"46,176.00",5,0,0,18,40,64,1,0,3,0,
487,16.42,"34,153.60",5,1,0,14,19,39,0,0,3,0,
488,8.63,"17,950.40",5,0,0,14,4,24,1,0,3,0,
489,19.38,"40,310.40",5,0,0,16,11,33,1,1,3,0,
490,14.00,"29,120.00",5,0,0,16,16,38,1,1,3,0,
491,10.00,"20,800.00",5,0,0,14,22,42,0,1,3,0,
492,15.95,"33,176.00",5,0,1,17,13,36,1,0,3,0,
493,20.00,"41,600.00",5,0,1,16,28,50,1,1,3,1,
494,10.00,"20,800.00",5,0,0,16,10,32,1,1,3,0,
495,24.98,"51,958.40",5,0,0,16,5,27,1,0,3,1,
496,11.25,"23,400.00",5,0,0,15,5,26,0,0,3,0,
497,22.83,"47,486.40",5,1,0,18,37,61,1,0,3,0,
498,10.20,"21,216.00",5,0,1,17,26,49,1,1,3,0,
499,10.00,"20,800.00",5,0,0,16,4,26,1,1,3,1,
500,14.00,"29,120.00",5,0,1,18,31,55,1,0,3,0,
501,12.50,"26,000.00",5,0,1,17,13,36,1,1,3,0,
502,5.79,"12,043.20",5,0,0,12,42,60,1,1,3,0,
503,24.98,"51,958.40",5,0,0,17,18,41,0,1,2,0,
504,4.35,"9,048.00",5,0,0,12,3,21,1,1,3,0,
505,11.25,"23,400.00",5,0,0,17,10,33,1,0,3,0,
506,6.67,"13,873.60",5,0,1,16,10,32,1,0,3,0,
507,8.00,"16,640.00",5,0,0,16,17,39,1,1,2,0,
508,18.16,"37,772.80",5,0,0,18,7,31,0,1,3,0,
509,12.00,"24,960.00",5,0,0,16,14,36,1,1,3,0,
510,8.89,"18,491.20",5,0,1,16,22,44,1,1,3,0,
511,9.50,"19,760.00",5,0,0,17,14,37,1,1,3,0,
512,13.65,"28,392.00",5,0,0,16,11,33,0,1,3,0,
513,12.00,"24,960.00",5,0,1,18,23,47,0,1,3,0,
514,15.00,"31,200.00",5,0,1,12,39,57,0,1,3,0,
515,12.67,"26,353.60",5,0,0,16,15,37,0,1,3,0,
516,7.38,"15,350.40",5,0,0,14,15,35,1,0,2,0,
517,15.56,"32,364.80",5,0,0,16,10,32,0,0,3,0,
518,7.45,"15,496.00",5,0,0,12,25,43,1,0,3,1,
519,6.25,"13,000.00",5,0,0,14,12,32,1,1,3,0,
520,6.25,"13,000.00",5,0,0,16,7,29,1,1,2,1,
521,9.37,"19,489.60",5,0,1,17,7,30,0,1,3,0,
522,22.50,"46,800.00",5,1,0,16,17,39,0,1,3,0,
523,7.50,"15,600.00",5,0,1,16,10,32,0,1,3,0,
524,7.00,"14,560.00",5,0,0,17,2,25,0,1,3,1,
525,5.75,"11,960.00",5,0,1,9,34,49,1,1,1,1,
526,7.67,"15,953.60",5,0,0,15,11,32,1,1,3,0,
527,12.50,"26,000.00",5,0,0,15,10,31,0,0,3,0,
528,16.00,"33,280.00",5,0,0,12,12,30,0,1,3,1,
529,11.79,"24,523.20",5,0,1,16,6,28,1,0,3,0,
530,11.36,"23,628.80",5,0,0,18,5,29,0,0,3,0,
531,6.10,"12,688.00",5,0,0,12,33,51,1,1,1,0,
532,23.25,"48,360.00",5,0,1,17,25,48,1,1,1,0,
533,19.88,"41,350.40",5,0,1,12,13,31,0,1,3,1,
534,15.38,"31,990.40",5,1,0,16,33,55,0,1,3,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
